T_eff,dgd_final,dgd_initial,dgd_it,dgd_ratio,elapsed_s,feasible,gt_final,gt_initial,gt_it,gt_ratio,m,n,reason
300,0.6250283013929008,1.702884486009794,149,0.3670409276306637,0.04733850000775419,True,1.1869808703623714,1.7096911598455073,-1,0.6942662500925784,10,100,ok
300,0.19916805110327834,1.229953288687314,31,0.16193139441567203,0.04249629999685567,True,0.697339951428632,1.2401209627464176,111,0.5623160742999435,15,200,ok
300,0.48182289295783776,1.3319199924808882,67,0.36175062742347974,0.04457699999329634,True,0.993125532113192,1.3378333661127737,292,0.7423387375954231,20,400,ok
300,0.5029789188103382,1.0834704659723884,14,0.464229468736766,0.05356729999766685,True,0.7639995784387424,1.0899004224249098,64,0.7009810829680445,29,800,ok
300,0.9584169895093639,1.2001946959797873,86,0.7985512623241128,0.0750485999888042,True,1.0202850812058193,1.205232882909281,-1,0.8465460042402585,40,1600,ok
210,2.475758658998144,2.5616538272429046,-1,0.9664688619003571,0.1200712999998359,False,2.5087809008172868,2.563571759327412,-1,0.9786271407028995,57,3200,no_progress
244,1.770272018086823,1.9039039552304167,-1,0.9298116185028771,0.09482070000376552,False,1.8165347375091048,1.906667859909771,-1,0.9527274129407459,49,2400,no_progress
266,1.111334337784588,1.365717361525666,-1,0.8137366991828364,0.08132620000105817,True,1.2179301004086733,1.3694548365514445,-1,0.8893539734947812,45,2000,ok
255,1.717458884925782,1.9019796832850389,-1,0.9029848741388454,0.0878546999883838,False,1.7992483624565767,1.9046359232026755,-1,0.9446678709236525,47,2200,no_progress
260,1.653317700555612,1.8810943773054496,-1,0.8789126800346331,0.08328229999460746,False,1.7670204046677243,1.8837637638888185,-1,0.9380265394955413,46,2100,no_progress
260,1.2500356713469736,1.4885397218731538,-1,0.8397731367047091,0.08210770000005141,True,1.355792740535443,1.491819024785539,-1,0.9088185081500414,46,2050,ok
260,1.5169769734547691,1.6722257087911934,-1,0.9071604182854901,0.08269239999935962,False,1.5678831021591555,1.6753409082436164,-1,0.935859140336329,46,2075,no_progress
260,1.3072485342042455,1.5135207938616357,-1,0.8637136268665976,0.08142239999142475,False,1.3882457359371885,1.5168541338247927,-1,0.9152137341226645,46,2062,no_progress
260,1.3956044105939682,1.5763710301176161,-1,0.8853273651507282,0.08449439999822062,False,1.4597890425266837,1.5796975349368505,-1,0.9240940181533168,46,2056,no_progress
260,1.4981801087180944,1.7223788423286535,-1,0.869831927738126,0.08238089999940712,False,1.6036593070842795,1.7252583198428042,-1,0.9295183733589506,46,2053,no_progress
260,1.4333277255211425,1.653933747779145,-1,0.8666173765701161,0.08239389999653213,False,1.5324531181306267,1.6569733538247082,-1,0.9248507917120949,46,2051,no_progress
