T_eff,dgd_final,dgd_initial,dgd_it,dgd_ratio,elapsed_s,feasible,gt_final,gt_initial,gt_it,gt_ratio,m,n,reason
120,1.1040191518342937,1.724191256158159,-1,0.640311304149789,0.039431500001228414,True,1.4705826411237808,1.724191256158159,-1,0.8529115525156596,10,100,ok
120,0.576569473235568,1.2951867708050795,34,0.4451631889948785,0.0068689170002471656,True,0.9966840339258299,1.2951867708050795,119,0.7695291956281315,15,200,ok
120,0.8248459841034513,1.4103772608707787,71,0.5848406713492987,0.007675958011532202,True,1.1986653066161872,1.4103772608707787,-1,0.849889841442935,20,400,ok
120,0.6460827871642395,1.2375339805498637,24,0.5220727651269589,0.007851542002754286,True,0.9798618580901991,1.2375339805498637,105,0.7917858204223409,29,800,ok
120,1.02635302547764,1.3272711221801505,-1,0.7732806118705965,0.008700666992808692,True,1.122101468124432,1.3272711221801505,-1,0.8454199367204563,40,1600,ok
120,2.554273256222827,2.7186999549656927,-1,0.939520100979683,0.013096499998937361,True,2.589778484079571,2.7186999549656927,-1,0.9525797355273989,57,3200,ok
120,3.6553889570301608,3.798708768074119,-1,0.9622714401671232,0.016510916000697762,False,3.688677167726896,3.798708768074119,-1,0.9710344732736627,80,6400,no_progress
120,3.3470260963855454,3.498857139338958,-1,0.9566055323476003,0.01388533299905248,False,3.391077282606936,3.498857139338958,-1,0.9691956966404223,70,4800,no_progress
120,2.8088707331413016,2.968687351865808,-1,0.9461658976570697,0.01225129199156072,True,2.8463377221970823,2.968687351865808,-1,0.958786623457728,64,4000,ok
120,2.76908203744615,2.9248571726506243,-1,0.9467409428873736,0.01596741699904669,True,2.8013869902676625,2.9248571726506243,-1,0.9577859105266777,67,4400,ok
120,3.1661309058523104,3.305185342663242,-1,0.9579283996525033,0.01810825000575278,False,3.1978635003290146,3.305185342663242,-1,0.9675292514011483,68,4600,no_progress
120,3.114402104672979,3.2611656021901547,-1,0.9549966130457738,0.018564792000688612,False,3.152426603219764,3.2611656021901547,-1,0.9666564007367908,68,4500,no_progress
120,3.0122965473971854,3.161662594690543,-1,0.9527571197685069,0.01592608299688436,False,3.0452425482920464,3.161662594690543,-1,0.9631775868196678,67,4450,no_progress
120,3.003336023849696,3.1489412200620577,-1,0.9537605861663266,0.020478666992858052,False,3.033563915357191,3.1489412200620577,-1,0.9633599687508321,67,4425,no_progress
120,3.126633914935196,3.2673406823976316,-1,0.956935385336315,0.02536054099618923,False,3.155062959535939,3.2673406823976316,-1,0.9656363588080747,67,4412,no_progress
120,3.103672507213295,3.2688344872497495,-1,0.949473740355874,0.029297332992427982,True,3.1509110705754284,3.2688344872497495,-1,0.9639249349778072,67,4406,ok
